,Unnamed: 0,C_ID,Name,InChIKey,SMILES,CAS,LogS,smiles_canon
0,0.0,A-1,,AAEVYOVXGOFMJO-UHFFFAOYSA-N,S(C)c1nc(NC(C)C)nc(NC(C)C)n1,,-4.1,CSc1nc(NC(C)C)nc(NC(C)C)n1
2,2.0,A-3,,ADIMAYPTOBDMTL-UHFFFAOYSA-N,Clc1cc2C(=NC(O)C(=O)Nc2cc1)c1ccccc1,,-3.95,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
3,3.0,A-4,,AEXMKKGTQYQZCS-UHFFFAOYSA-N,C(CC)(CC)(C)C,,-4.23,CCC(C)(C)CC
4,4.0,A-5,,AFFLGGQVNFXPEV-UHFFFAOYSA-N,C(=C)CCCCCCCC,,-5.51,C=CCCCCCCCC
7,7.0,A-8,,AFYCEAFSNDLKSX-UHFFFAOYSA-N,O=c1oc2c(c(C)c1)ccc(N(CC)CC)c2,,-4.001,CCN(CC)c1ccc2c(C)cc(=O)oc2c1
8,8.0,A-9,,AGAHNABIDCTLHW-UHFFFAOYSA-N,Fc1ccc(C(=O)CCCN2CCC(O)(c3ccc(C)cc3)CC2)cc1,,-4.347,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1
11,11.0,A-12,,AIKKULXCBHRFOS-UHFFFAOYSA-N,S=P(SCC(=O)N(C=O)C)(OC)OC,,-2.0,COP(=S)(OC)SCC(=O)N(C)C=O
12,12.0,A-13,,AIVXUNRQBRKFJO-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2C(=O)CCSc2c1,,-3.494,NS(=O)(=O)c1cc2c(s1)C(=O)CCS2
15,15.0,A-16,,AMMPGYPPRLWMLW-UHFFFAOYSA-N,O=[N+]([O-])c1cc(N)c(OCC)cc1,,-3.211,CCOc1ccc([N+](=O)[O-])cc1N
20,20.0,A-21,,APTGDJCKNMNFID-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)(=O)CC(O)Cc2c1,,-1.539,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CC(O)C2
22,22.0,A-23,,AQIXAKUUQRKLND-UHFFFAOYSA-N,S(CCN/C(=N/C)/NC#N)Cc1c(C)[nH]cn1,,-1.40229,CN=C(NC#N)NCCSCc1nc[nH]c1C
24,24.0,A-25,,ARCGXLSVLAOJQL-UHFFFAOYSA-N,O=C(O)c1c(C(=O)O)ccc(C(=O)O)c1,,-0.397,O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1
25,25.0,A-26,,ARGDYOIRHYLIMT-UHFFFAOYSA-N,ClN(Cl)S(=O)(=O)c1ccc(C)cc1,,-3.509,Cc1ccc(S(=O)(=O)N(Cl)Cl)cc1
27,27.0,A-28,,ATROHALUCMTWTB-UHFFFAOYSA-N,S=P(ON=C(C#N)c1ccccc1)(OCC)OCC,,-4.86,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1
32,32.0,A-33,,AVZVLGDSSQKRGL-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCOCC1,,-1.773,O=C(OCC(=O)N1CCOCC1)c1ccccc1
36,36.0,A-37,,BACHBFVBHLGWSL-UHFFFAOYSA-N,Clc1c(Oc2ccc(OC(C(=O)OC)C)cc2)ccc(Cl)c1,,-3.82,COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1
39,39.0,A-40,,BBXXLROWFHWFQY-UHFFFAOYSA-N,O=c1c(CCCC)c(C)nc(NCC)[nH]1,,-3.02497,CCCCc1c(C)nc(NCC)[nH]c1=O
40,40.0,A-41,,BCCOBQSFUDVTJQ-UHFFFAOYSA-N,FC1(F)C(F)(F)C(F)(F)C1(F)F,,-3.92,FC1(F)C(F)(F)C(F)(F)C1(F)F
42,42.0,A-43,,BDERNNFJNOPAEC-UHFFFAOYSA-N,OCCC,,0.62,CCCO
43,43.0,A-44,,BFCFYVKQTRLZHA-UHFFFAOYSA-N,Clc1c([N+](=O)[O-])cccc1,,-2.55,O=[N+]([O-])c1ccccc1Cl
45,45.0,A-46,,BGHCVCJVXZWKCC-UHFFFAOYSA-N,C(CCCCCCC)CCCCCC,,-7.959992,CCCCCCCCCCCCCC
46,46.0,A-47,,BGNCCUHEGHNNAP-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)(=O)CCC(=O)c2c1,,-3.018,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2=O
47,47.0,A-48,,BKIMMITUMNQMOS-UHFFFAOYSA-N,C(CCCC)CCCC,,-5.88,CCCCCCCCC
50,50.0,A-51,,BOCJQSFSGAZAPQ-UHFFFAOYSA-N,Clc1c2C(=O)c3c(C(=O)c2ccc1)cccc3,,-5.54,O=C1c2ccccc2C(=O)c2c(Cl)cccc21
51,51.0,A-52,,BOJWTAQWPVBIPG-UHFFFAOYSA-N,Fc1c([N+](=O)[O-])cc(C(=O)O)cc1,,-1.579,O=C(O)c1ccc(F)c([N+](=O)[O-])c1
52,52.0,A-53,,BRBKOPJOKNSWSG-UHFFFAOYSA-N,S(=O)(=O)(N=C(N)N)c1ccc(N)cc1,,-1.98497,NC(N)=NS(=O)(=O)c1ccc(N)cc1
53,53.0,A-54,,BRLQWZUYTZBJKN-UHFFFAOYSA-N,ClCC1OC1,,-0.15,ClCC1CO1
54,54.0,A-55,,BRPOVUNVTUCYNN-UHFFFAOYSA-N,Fc1c(N2C(CC)C(N)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,,-3.912,CCC1C(N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1
59,59.0,A-60,,BWXSXZAIQQSFPW-UHFFFAOYSA-N,O=[N+]([O-])c1cc2C(=O)OC(CC)(CC)c2cc1,,-3.656,CCC1(CC)OC(=O)c2cc([N+](=O)[O-])ccc21
60,60.0,A-61,,BXNJHAXVSOCGBA-UHFFFAOYSA-N,O(C)c1cc2[nH]c3c(C)nccc3c2cc1,,-4.48,COc1ccc2c(c1)[nH]c1c(C)nccc12
