,C_ID,Name,InChIKey,SMILES,CAS,LogS
0,C-1,,ACTIUHUUMQJHFO-UPTCCGCDSA-N,COC1=C(OC)C(=O)C(=C(C1=O)C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C)\C)\C)\C)\C)\C)\C)C,,-18.21769274
1,C-2,,CQISYTXUORWJSX-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)Nc1ccc(cc1)NC(=O)CCCCCCCCCCCCCCCCC,,-17.46845707
2,C-3,,UXPYIAWFQKSHNV-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCCCCOC(=O)CCCCCCCCCCCCCCC,,-16.25939172
3,C-4,,BDIWFCKBPZPBQT-UHFFFAOYSA-N,CCCC[Sn](S[Sn](CCCC)(CCCC)CCCC)(CCCC)CCCC,,-15.67628661
4,C-5,,RNPXCFINMKSQPQ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCOP(=O)(OCCCCCCCCCCCCCCCC)O,,-15.20512017
5,C-6,,FTQWRYSLUYAIRQ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)NCNC(=O)CCCCCCCCCCCCCCCCC,,-14.93986516
6,C-7,,YYGNTYWPHWGJRM-AAJYLUCBSA-N,C/C(=C\CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/CC/C=C(/CCC=C(C)C)\C,,-14.59236714
7,C-8,,RYROWNOHCUSOKT-UHFFFAOYSA-N,Brc1ccc(nc1)OCCCCCCCCCCNCCSSCCNCCCCCCCCCCOc1ccc(cn1)Br.Cl.Cl,,-14.5490503
8,C-9,,SPJCRMJCFSJKDE-ZWBUGVOYSA-N,ClCCN(c1ccc(cc1)CC(=O)O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](CCCC(C)C)C)C)C1)C)CCCl,,-14.52387178
9,C-10,,MSCCTZZBYHQMQJ-AZAGJHQNSA-N,C[C@@H](CCC[C@]1(C)CCc2c(O1)c(C)c(c(c2C)OC(=O)c1cccnc1)C)CCC[C@@H](CCCC(C)C)C,,-13.79857364
10,C-11,,SYKKEUORZVAILP-XPXLQCACSA-N,CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCCCC)CCCCCCCC.[Cl-],,-13.61935865
11,C-12,,XVQDYVLXIXMLOS-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCOC(=O)c1ccc(c(c1)N(CCCl)CCCl)C,,-13.45141192
12,C-13,,FIAFUQMPZJWCLV-UHFFFAOYSA-N,O=C(Nc1cccc(c1)C(=O)Nc1cc(ccc1C)C(=O)Nc1ccc(c2c1c(cc(c2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)Nc1cccc(c1)C(=O)Nc1cc(ccc1C)C(=O)Nc1ccc(c2c1c(cc(c2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,,-13.25629814
13,C-14,,NKNPHSJWQZXWIX-DCVDGXQQSA-N,CC[C@@H]1C[C@H]2CC[C@H](O2)[C@H](C)C(=O)O[C@@H](CC)C[C@@H]2CC[C@@H](O2)[C@@H](C)C(=O)O[C@@H](C[C@@H]2O[C@H]([C@@H](C(=O)O[C@H](C[C@H]3O[C@@H]([C@H](C(=O)O1)C)CC3)CC)C)CC2)CC,,-13.1457164
14,C-15,,ZPBNOWWJKRKBEV-YZMZVZPOSA-N,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2C(=O)/C(=C/NOCCCc4ccccc4)/C(=C(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,,-12.83707405
15,C-16,,SKEVFVQMAFMKEM-DYNGLPSQSA-N,CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCCC)CCCCCCC.[Cl-],,-12.5769707
16,C-17,,ZAKOWWREFLAJOT-CEFNRUSXSA-N,C[C@@H](CCC[C@]1(C)CCc2c(O1)c(C)c(c(c2C)OC(=O)C)C)CCC[C@@H](CCCC(C)C)C,,-12.55736392
17,C-18,,VFBJXXJYHWLXRM-UHFFFAOYSA-N,O=C(CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)OCCSCCOC(=O)CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C,,-12.15015633
18,C-19,,GSMFFPAGZVRAPY-VLSXRWFESA-N,CCCCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OCCCC)CCCCCCCC.[Cl-],,-12.05632873
19,C-20,,GOATZYAVXMPVQD-UHFFFAOYSA-N,Brc1cnc(c(c1)Br)OCCCCCNCCSSCCNCCCCCOc1ncc(cc1Br)Br.Cl.Cl,,-12.00111017
20,C-21,,PZPPOCZWRGNKIR-PNVYSBBASA-N,OC[C@]12SS[C@]3(N(C1=O)[C@H]1Nc4c([C@]1(C3)[C@@]13C[C@]56N([C@H]3Nc3c1cccc3)C(=O)[C@](SS5)(N(C6=O)C)CO)cccc4)C(=O)N2C,,-11.97802288
21,C-22,,MBWXNTAXLNYFJB-NKFFZRIASA-N,C[C@H](CCC[C@@H](CCCC(C)C)C)CCC/C(=C/CC1=C(C)C(=O)c2c(C1=O)cccc2)/C,,-11.96104738
22,C-23,,VWZAGCZUPZKTET-UHFFFAOYSA-N,OS(=O)(=O)O.CCCCN(CCCC)CCCOC(=O)c1ccc(cc1)N.CCCCN(CCCC)CCCOC(=O)c1ccc(cc1)N,,-11.85315733
23,C-24,,BIADSXOKHZFLSN-YEUOVSOVSA-N,C/C(=C\CCC1[C@](C)(O)CCC2[C@]1(C)CCCC2(C)C)/CC[C@@H]1C(=C)CCCC1(C)C,,-11.79334998
24,C-25,,ONXPZLFXDMAPRO-UHFFFAOYSA-N,Clc1c(c2c(Cl)c(Cl)c(c(c2Cl)Cl)Cl)c(Cl)c(c(c1Cl)Cl)Cl,,-11.62
25,C-26,,AVBZMYRNHKNVAW-DSPABWSOSA-N,CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCC)CCCCCC.[Cl-],,-11.53413709
26,C-27,,FEQOTXWZPMPKGW-UHFFFAOYSA-N,O=C1c2ccccc2c2c3c1ccc(c3ccc2)c1ccc2c3c1cccc3c1c(C2=O)cccc1,,-11.53102072
27,C-28,,YKSGNOMLAIJTLT-UHFFFAOYSA-N,O=C1c2ccccc2c2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)c2c(C1=O)cccc2,,-11.51331275
28,C-29,,ZPACYDRSPFRDHO-ROBAGEODSA-N,C/C(=C\CCC(=O)OC/C=C(/CCC=C(C)C)\C)/CC/C=C(/CCC=C(C)C)\C,,-11.4756571
29,C-30,,FYPMFJGVHOHGLL-UHFFFAOYSA-N,CC(Sc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)(Sc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)C,,-11.36117614
30,C-31,,VIQCGTZFEYDQMR-UHFFFAOYSA-N,CCCCCCCCCC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,,-11.35885907
31,C-32,,OYIBHXRZSMTHLW-XIDBHWPPSA-N,Clc1ccc2c(c1)/C(=C/CCN1CCCCC1)/c1c(S2)cccc1.Br,,-11.32225509
32,C-33,,QEFDFGVDVZTFAK-GGXMVOPNSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(=O)OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,,-11.31996592
33,C-34,,IDWDXHQLOMJDRU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(C(c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,,-11.28911114
34,C-35,,WWVAPFRKZMUPHZ-UHFFFAOYSA-N,O=C(Nc1c(I)cc(c(c1I)C(=O)O)I)CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(c(c1I)C(=O)O)I,,-11.20897751
35,C-36,,RCUAUWPBLXTBGM-UHFFFAOYSA-N,CC(=CCN(CCC(c1cccc2c1cccc2)(C(=O)N)CCN(CC=C(C)C)CC=C(C)C)CC=C(C)C)C,,-11.027901
36,C-37,,DDWKCBUSQTZBMR-UHFFFAOYSA-N,N#CC(c1cccc2c1cccc2)(CCN(CC=C(C)C)CC=C(C)C)CCN(CC=C(C)C)CC=C(C)C,,-11.02187123
37,C-38,,WIYZZHWXZCULNY-DHKWPOFJSA-N,CCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCC)CCCCCC.[Cl-],,-11.01502535
38,C-39,,ZLHXGWFOXJVXPN-DHKWPOFJSA-N,CCCCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-],,-11.01502535
39,C-40,,MNULEGDCPYONBU-ZZTRBZRQSA-N,CC[C@@H]1/C=C/C=C/C[C@H](C)[C@@H](O)[C@](C)(O)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@H]([C@H]([C@@H](/C=C/C(=O)O[C@H]2[C@H]([C@@H](CC1)O[C@@]1(CC[C@H]([C@H](O1)C[C@@H](O)C)C)[C@H]2C)C)C)O)C,,-10.92140987
40,C-41,,JXMIBUGMYLQZGO-UHFFFAOYSA-N,O=C(Nc1c(I)cc(c(c1I)C(=O)O)I)COCCOCCOCC(=O)Nc1c(I)cc(c(c1I)C(=O)O)I,,-10.9116823
41,C-42,,MYPYJXKWCTUITO-LYRMYLQWSA-N,OC[C@H]1O[C@@H](Oc2c3cc4cc2Oc2ccc(cc2Cl)[C@@H](O)[C@@H]2NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]([C@@H](c4ccc(O3)c(Cl)c4)O)NC(=O)[C@@H](CC(C)C)NC)c3ccc(c(c3)c3c(O)cc(cc3[C@H](NC2=O)C(=O)O)O)O)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@H]([C@@](C1)(C)N)O,,-10.8755905
42,C-43,,MQYXUWHLBZFQQO-QGTGJCAVSA-N,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C,,-10.84482232
43,C-44,,FTQDJVZNPJRVPG-XWEVEMRCSA-N,CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@H]2C[C@](C)(CC1)C(=O)O)C)C)C,,-10.59594624
44,C-45,,USDIZUOMBXWPLQ-FJBFXRHMSA-N,CCCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-],,-10.49356261
45,C-46,,CNYRGVIFIXLHHK-FJBFXRHMSA-N,CCCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OCCC)CCCCCCC.[Cl-],,-10.49356261
46,C-47,,XIFFTDRFWYFAPO-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl,,-10.41
47,C-48,,DLVULIKDGUJXMV-UHFFFAOYSA-N,Brc1ccc(nc1)OCCCCCCNCCSSCCNCCCCCCOc1ccc(cn1)Br.Cl.Cl,,-10.38202647
48,C-49,,JMPFSEBWVLAJKM-UHFFFAOYSA-N,N#CC(c1cc(C)c(cc1Cl)NC(=O)c1cc(I)cc(c1O)I)c1ccc(cc1)Cl,,-10.3473464
49,C-50,,OFHCOWSQAMBJIW-AVJTYSNKSA-N,CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CCC/C/2=C\C=C/1\C[C@@H](O)C[C@@H](C1=C)O)C)C,,-10.32860405
50,C-51,,JFIMDKGRGPNPRQ-UHFFFAOYSA-N,Clc1cc(c(c(c1Cl)Cl)Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,,-10.26
51,C-52,,UBDWKOZBPSKHMO-UHFFFAOYSA-N,CCC(C(c1ccc(cc1)OCCN(CC)CC)CC)c1ccc(cc1)OCCN(CC)CC,,-10.25096331
52,C-53,,QYIXCDOBOSTCEI-FBVYSKEZSA-N,CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC[C@@H]2[C@]1(C)CC[C@H](C2)O)C)C,,-10.05051608
53,C-54,,COQAPWLZSHQTKA-MSDOJSJISA-N,O=C/C(=C\C[C@]12OC([C@H]3[C@]42Oc2c(C(=O)C4=C[C@@H](C1=O)C3)c(O)c1c(c2CC=C(C)C)OC(C=C1)(C)C)(C)C)/C,,-10.05037097
54,C-55,,KQXDHUJYNAXLNZ-XQSDOZFQSA-N,CC[C@H]([C@H]1O[C@]2(C=C[C@H]([C@@]3(O2)CC[C@@](O3)(C)[C@H]2CC[C@]([C@@H](O2)C)(O)CC)O)[C@@H](C[C@@H]1C)C)C(=O)[C@H]([C@H]([C@@H]([C@@H]1O[C@H](CC[C@@H]1C)[C@H](C(=O)O)CC)C)O)C,,-10.00995023
55,C-56,,ZDMXWGVLXYXVTN-XKRXHFONSA-N,C/C(=C/CNCC1CCC(CC1)CNC/C=C(\CCC=C(C)C)/C)/CCC=C(C)C.Cl.Cl,,-10.00056858
56,C-57,,PXBIAYSAZBFYQQ-LXCLTORNSA-N,CCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCC)CCCCC.[Cl-],,-9.974630214
57,C-58,,IQOILDYEBKDJQN-LXCLTORNSA-N,CCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OCCCC)CCCCCC.[Cl-],,-9.974630214
58,C-59,,HWNQHNPAOQSMFI-LXCLTORNSA-N,CCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCC)CCCC.[Cl-],,-9.974630214
59,C-60,,SRGLANFDNQAVFW-LXCLTORNSA-N,CCCCCCC[NH+](C(=N)c1ccc(c2c1cccc2)OCC)CCCCCCC.[Cl-],,-9.974630214
60,C-61,,MIJYXULNPSFWEK-GTOFXWBISA-N,O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@@]1([C@H]2CC(C)(C)CC1)C(=O)O)C)C,,-9.925642185
61,C-62,,BQJJCIYAPLCGJD-UHFFFAOYSA-N,Clc1cnc(c(c1)Cl)OCCCCCNCCSSCCNCCCCCOc1ncc(cc1Cl)Cl.Cl.Cl,,-9.878475187
62,C-63,,RVVVMCHNTQXDPI-UHFFFAOYSA-N,CC(c1cc(Cc2cc(cc(c2O)C(C)(C)C)C(C)C)c(c(c1)C(C)(C)C)O)C,,-9.868394839
63,C-64,,WVTKBKWTSCPRNU-KYJUHHDHSA-N,COc1c(OC)cc2c3c1Oc1cc4c(cc1OC)CCN([C@H]4Cc1ccc(Oc4cc(C[C@@H]3N(CC2)C)ccc4OC)cc1)C,,-9.864392559
64,C-65,,LRWSFOSWNAQHHW-UHFFFAOYSA-N,CCCCCCC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,,-9.794162679
65,C-66,,HALWUDBBYKMYPW-UHFFFAOYSA-M,O=C1N(Cc2ccccc2)C2C(N1Cc1ccccc1)C[S+]1C2CCC1.O=C1CC2C(C1(CC2)CS(=O)(=O)[O-])(C)C,,-9.791302251
66,C-67,,DDOXROFFXDWGCO-UHFFFAOYSA-N,c1ccc2c(c1)C(NCC2)CC12CCC(CC1)(CC2)CC1NCCc2c1cccc2,,-9.7376178
67,C-68,,KMDLOETUWUPGMB-GSTUHXICSA-N,Cc1cc(ccc1N/N=C/1\C(=O)C=Cc2c1cccc2)/N=N/c1ccccc1C,,-9.733343394
68,C-69,,OBZHEBDUNPOCJG-SMVPYXKTSA-N,O=C(O[C@H]1CC[C@]2(C(C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@@H]2C[C@@](C)(CC1)C(=O)O)C)C)C)CCC(=O)O,,-9.689760328
69,C-70,,ICTGRDPWQUONIY-UHFFFAOYSA-N,OC(c1cccc(n1)C(Cc1ccccc1)(Cc1ccccc1)O)(Cc1ccccc1)Cc1ccccc1,,-9.630483498
