smiles,LogS
Brc1cc(C(O)=O)c(N)cc1,-3.07
c1cc(ccc1O)I,-1.71
Oc1c(Br)cc(C(O)=O)c(O)c1,-2.62
CC(C)NCC(O)COc1ccccc1CC=C,-2.63
C1C2CC3CC(CC1C3)(N)C2,-1.85
c1(c(CN(CC)CC)cc(cc1)Nc1ccnc2c1ccc(c2)Cl)O,-5.79
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,-2.0
S(c1n(cnc1N(=O)=O)C)c1ncnc2nc[nH]c12,-3.21
n1(Cc2ccccc2)cncc1,-2.26
Brc1cc2c(CN(C)C)c[nH]c2cc1,-4.06
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,-3.22
CC(C(O)=O)c1ccc2c(c1)[nH]c1ccc(Cl)cc21,-4.7
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,-4.26
C1(=C(COC(C)=O)CS[C@@H]2[C@H](NC(=O)Cc3cccs3)C(N12)=O)C(O)=O,-2.94
C([C@H](c1ccccn1)c1ccc(cc1)Cl)CN(C)C,-2.67
CN(C)CC\C=C1\c2ccccc2Sc2ccc(cc12)Cl,-5.87
c1cc2c(cc1Cl)[nH]c(=O)o2,-2.66
O=C(c1cn(C2CC2)c2c(cc(F)c(N3CCNCC3)c2)c1=O)O,-3.6
C[N@]1C[C@@H]2C[C@H]1CN2c1c(cc2c(n(cc(C(=O)O)c2=O)C2CC2)c1)F,-2.9
C[C@H](CC1=CC=CC=C1)N(C)CC#C,-2.51
Clc1cc2S(=O)(=O)N=C(Nc2cc1)C,-3.36
O=C1[C@H](OC(C)=O)[C@H](c2ccc(OC)cc2)Sc2ccccc2N1CCN(C)C,-3.16
CN(C)CCOC(c1ccccc1)c1ccccc1,-2.95
CCN1CCN(CC1)c1c(cc2c(n(cc(C(=O)O)c2=O)C2CC2)c1)F,-3.18
N\C(CCSCc1csc(\N=C(\N)N)n1)=N\S(=O)(N)=O,-2.65
CC(C(O)=O)c1cccc(Oc2ccccc2)c1,-3.7
O=C(NC1CCCCC1)NS(=O)(c1ccc(CCNC(c2cnc(cn2)C)=O)cc1)=O,-5.49
[nH]1cnc2nc(N)[nH]c(=O)c12,-4.43
S1(=O)(=O)NCNc2c1cc(S(=O)(N)=O)c(c2)C(F)(F)F,-2.97
CCn1cc(C(O)=O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12,-2.33
N(C)CCCC12c3c(C(c4ccccc14)CC2)cccc3,-4.69
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,-5.07
O[C@]1([C@H](N(CC=C)CC2)C3)[C@@]42C5=C3C=CC(O)=C5O[C@H]4C(CC1)=O,-2.9
O=C(O)[C@@H](C)c1ccc2cc(ccc2c1)OC,-4.5
CCn1cc(c(=O)c2cc(c(cc12)N1CCNCC1)F)C(=O)O,-2.76
N(CC\C=C1\c2c(CCc3c1cccc3)cccc2)C,-4.02
CC1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O,-1.27
