,smiles_canon,Solubility,occurence
50,O=C1c2ccccc2C(=O)c2c(Cl)cccc21,-5.54,1.0
52,NC(N)=NS(=O)(=O)c1ccc(N)cc1,-1.98497,1.0
54,CCC1C(N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,-3.912,1.0
59,CCC1(CC)OC(=O)c2cc([N+](=O)[O-])ccc21,-3.656,1.0
67,O=C1C=Cc2ccccc2C1=NO,-2.937,1.0
93,NC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,-5.324,1.0
141,CC1(C)NC(=O)N(Cc2ccccc2)C1=O,-1.795,1.0
157,COCOc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,-1.959,1.0
190,Nc1ccccc1C(=O)OCC=Cc1ccccc1,-6.042,1.0
213,O=C(O)Cn1cnnn1,0.083568,1.0
273,NC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-5.269,1.0
279,CC(C=NNC(N)=O)=NNC(N)=O,-1.948,1.0
296,Cc1ccc2ccccc2c1[N+](=O)[O-],-4.272,1.0
316,COc1ccc(NC(=O)C2CC2)cn1,-2.138,1.0
320,CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1,-1.845,1.0
329,CC(C)NCC(O)c1ccc(O)c(O)c1,0.14,1.0
378,O=C(c1ccccc1)C(F)(F)F,-1.155,1.0
380,COc1ccc(CCNC(=O)CNc2cccc(C(N)=O)c2)cc1OC,-2.686,1.0
381,O=S(=O)(c1ccccc1)c1ccccc1,-3.64378,1.0
405,CC(C)CC1OC(O)C(Cc2ccccc2)NC1=O,-2.12,1.0
436,O=C(O)CCP(=O)(O)c1ccccc1,-3.078,1.0
537,c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,-7.8,1.0
562,c1coc(CNc2ncnc3[nH]cnc23)c1,-3.946,1.0
583,CNC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-5.312,1.0
590,CC(NC(=O)OC(C)(C)C)C(=O)O,-0.74473,1.0
605,CC(=O)NC(CCC(=O)O)C(=O)O,-0.711,1.0
656,O=C(CS)Nc1ccc2ccccc2c1,-3.337,1.0
673,CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1,-2.517,1.0
693,CC1(N)CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,-5.616,1.0
699,COC(=O)C(NC(=O)COC(=O)CC1=CC(NC2=C(Cl)C=CC=CC2Cl)C=CC=C1)C(C)C,-1.59908,1.0
702,COCC1COc2cc3ncnc(Nc4cccc(Br)c4)c3cc2O1,-3.222,1.0
729,CC12CCC3C(CC=C4CCCCC43C)C1CC(F)C2=O,-6.79588,1.0
786,CC1(N)CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-4.376,1.0
794,CN1C(=C(O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,-3.78351,1.0
821,O=[N+]([O-])c1cc2c(cc1CO)OCO2,-3.064,1.0
832,NC(=O)Cc1ccc(O)cc1,-2.38601,1.0
843,O=c1ccc2nc3ccccc3sc-2c1,-3.716,1.0
854,COC(=O)c1ccc([N+](=O)[O-])cc1,-3.035,1.0
857,O=c1c2ccccc2sc2ccccc12,-5.54,1.0
864,Nc1ccc2ccc3cccc4ccc1c2c34,-0.61272,1.0
865,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,-1.297,1.0
866,CCOC1=C([N+](=O)[O-])CN(C(C)C)C1=O,-4.331,1.0
896,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)O,-2.1549,1.0
84,CC(C)c1ccccc1C(C)C,-6.352932503,1.0
119,CCCCC(C)CCO,-2.208375999,1.0
126,CC(C)c1cccc2ccccc12,-5.49074994,1.0
127,CCCCC(O)CCC,-2.03192567,1.0
133,Cc1ccc(N(C)C)cc1,-2.318095456,1.0
161,CC1COC(C)(C)O1,-0.019733625,1.0
164,C=C(C)C(C)(C)O,-0.306089117,1.0
171,CCC1CCC2(CCC(CC)O2)O1,-1.845522455,1.0
