,smiles_canon,Solubility,occurence
0,O=C1c2ccccc2C(=O)c2c(Cl)cccc21,-5.54,1.0
1,NC(N)=NS(=O)(=O)c1ccc(N)cc1,-1.98497,1.0
2,CCC1C(N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,-3.912,1.0
3,CCC1(CC)OC(=O)c2cc([N+](=O)[O-])ccc21,-3.656,1.0
4,O=C1C=Cc2ccccc2C1=NO,-2.937,1.0
5,Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],-2.6,1.0
6,NC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,-5.324,1.0
7,CC1(C)NC(=O)N(Cc2ccccc2)C1=O,-1.795,1.0
8,COCOc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,-1.959,1.0
9,Nc1ccccc1C(=O)OCC=Cc1ccccc1,-6.042,1.0
10,O=C(O)Cn1cnnn1,0.083568,1.0
11,NC(Cc1n[nH]c2ccccc12)C(=O)O,-1.407,1.0
12,NC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-5.269,1.0
13,COC(=O)C(C)NC(=O)COC(=O)CC1=CC=CC=CC1NC1=C(Cl)CC=CC=C1Cl,-1.45272,1.0
14,CC(C=NNC(N)=O)=NNC(N)=O,-1.948,1.0
15,Cc1ccc2ccccc2c1[N+](=O)[O-],-4.272,1.0
16,COc1ccc(NC(=O)C2CC2)cn1,-2.138,1.0
17,CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1,-1.845,1.0
18,Cc1ccc(-c2nc3ccccc3s2)cc1,-4.353,1.0
19,CC(C)NCC(O)c1ccc(O)c(O)c1,0.14,1.0
20,O=C(c1ccccc1)C(F)(F)F,-1.155,1.0
21,COc1ccc(CCNC(=O)CNc2cccc(C(N)=O)c2)cc1OC,-2.686,1.0
22,O=S(=O)(c1ccccc1)c1ccccc1,-3.64378,1.0
23,CC(C)CC1OC(O)C(Cc2ccccc2)NC1=O,-2.12,1.0
24,O=C(O)CCP(=O)(O)c1ccccc1,-3.078,1.0
25,O=C1Nc2ccccc2C(=O)N2CCCC12,-3.745,1.0
26,NS(=O)(=O)c1nc2ccc(O)cc2s1,-2.503,1.0
27,COc1ccc(C=CC(=O)c2ccccc2O)cc1,-5.699,1.0
28,c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,-7.8,1.0
29,c1coc(CNc2ncnc3[nH]cnc23)c1,-3.946,1.0
30,CNC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,-5.312,1.0
31,COCC1COc2cc3ncnc(Nc4cccc(I)c4)c3cc2O1,-3.523,1.0
32,CC(NC(=O)OC(C)(C)C)C(=O)O,-0.74473,1.0
33,CC(=O)NC(CCC(=O)O)C(=O)O,-0.711,1.0
34,O=[N+]([O-])c1cc[n+]([O-])cc1,-0.68825,1.0
35,O=C(CS)Nc1ccc2ccccc2c1,-3.337,1.0
36,CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1,-2.517,1.0
37,CC1(N)CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,-5.616,1.0
38,COC(=O)C(NC(=O)COC(=O)CC1=CC(NC2=C(Cl)C=CC=CC2Cl)C=CC=C1)C(C)C,-1.59908,1.0
39,COCC1COc2cc3ncnc(Nc4cccc(Br)c4)c3cc2O1,-3.222,1.0
